,stu_ori,stu_now,update_iter
147,[0.2114497870206833],[0.2110181748867035],1
148,[0.20519565045833588],[0.20485761761665344],1
149,[0.183675616979599],[0.18317922949790955],1
150,[0.17724627256393433],[0.17706243693828583],1
151,[0.18547533452510834],[0.18509897589683533],1
152,[0.17240463197231293],[0.1717703938484192],1
153,"[0.17329837381839752, 0.1801804006099701]","[0.17337562143802643, 0.1798672378063202]",2
154,[0.17586888372898102],[0.17552971839904785],1
155,[0.1882629543542862],[0.18797732889652252],1
156,[0.15178987383842468],[0.15161187946796417],1
157,"[0.22037309408187866, 0.18630243837833405]","[0.22040249407291412, 0.1861899346113205]",2
158,[0.2093280851840973],[0.20913507044315338],1
159,[0.17377036809921265],[0.1735680103302002],1
160,[0.2288447469472885],[0.22850708663463593],1
161,[0.18860189616680145],[0.18833906948566437],1
162,[0.22676323354244232],[0.2266845554113388],1
163,[0.2232394814491272],[0.2229381799697876],1
164,[0.1927366703748703],[0.19227245450019836],1
165,[0.1717386394739151],[0.1714213788509369],1
166,[0.19698645174503326],[0.19666406512260437],1
167,[0.1694456934928894],[0.16920125484466553],1
168,"[0.17543275654315948, 0.17233583331108093]","[0.17573536932468414, 0.171844020485878]",2
169,"[0.17658093571662903, 0.16182644665241241]","[0.1768173724412918, 0.16175886988639832]",2
170,[0.20562469959259033],[0.20517125725746155],1
171,[0.19234679639339447],[0.19223462045192719],1
172,[0.2033250331878662],[0.20302380621433258],1
173,"[0.17493119835853577, 0.1580931395292282]","[0.17527860403060913, 0.15802760422229767]",2
174,[0.1924850195646286],[0.19236476719379425],1
175,[0.15480352938175201],[0.15476961433887482],1
176,[0.21340171992778778],[0.21315307915210724],1
177,[0.17234663665294647],[0.17230913043022156],1
178,[0.20561116933822632],[0.20550641417503357],1
179,"[0.21567387878894806, 0.1503220796585083, 0.17010316252708435]","[0.21554796397686005, 0.15182603895664215, 0.17008012533187866]",3
180,[0.18698346614837646],[0.1867435872554779],1
181,[0.1696300059556961],[0.16950321197509766],1
182,[0.2036510705947876],[0.20363804697990417],1
183,[0.18390192091464996],[0.18361668288707733],1
184,"[0.19488093256950378, 0.1445777416229248, 0.18728160858154297, 0.18712139129638672]","[0.19576212763786316, 0.14523087441921234, 0.18676763772964478, 0.1866730898618698]",4
185,[0.1970810741186142],[0.19682864844799042],1
186,[0.15336859226226807],[0.15332795679569244],1
187,"[0.1830301135778427, 0.19294311106204987]","[0.1837538182735443, 0.1927809864282608]",2
188,[0.18441513180732727],[0.18405497074127197],1
189,[0.18719732761383057],[0.1869897097349167],1
190,[0.15300309658050537],[0.1527988463640213],1
191,"[0.1590241938829422, 0.18203580379486084]","[0.160084530711174, 0.18144305050373077]",2
192,[0.16128702461719513],[0.16113817691802979],1
193,"[0.15030108392238617, 0.1723974198102951]","[0.15048666298389435, 0.172200009226799]",2
194,[0.15465614199638367],[0.15212683379650116],1
195,[0.20193056762218475],[0.20192793011665344],1
196,[0.19931022822856903],[0.1989433467388153],1
197,"[0.16014622151851654, 0.18879184126853943]","[0.1601763367652893, 0.18864326179027557]",2
198,"[0.16568788886070251, 0.17963020503520966]","[0.1658032238483429, 0.17959654331207275]",2
199,[0.198393315076828],[0.19828936457633972],1
200,"[0.1784801483154297, 0.15544842183589935]","[0.17892277240753174, 0.15544220805168152]",2
201,[0.20704732835292816],[0.2070436030626297],1
202,[0.1945153772830963],[0.19439542293548584],1
203,"[0.1936868578195572, 0.18750415742397308, 0.18324048817157745, 0.1842413693666458]","[0.19432643055915833, 0.18758350610733032, 0.18301424384117126, 0.18415257334709167]",4
204,[0.18180209398269653],[0.18167802691459656],1
205,[0.17917269468307495],[0.17895884811878204],1
206,[0.1992490440607071],[0.19921927154064178],1
207,[0.19959905743598938],[0.19951172173023224],1
208,"[0.2337169349193573, 0.21906420588493347]","[0.23411144316196442, 0.21893636882305145]",2
209,[0.2063431441783905],[0.20625236630439758],1
